pyDanQ AU ROC	pyDanQ AU PR
0.90693	0.39384
0.91939	0.42391
0.89077	0.31031
0.92259	0.34055
0.83387	0.33818
0.88059	0.41331
0.90898	0.42996
0.92569	0.40110
0.91982	0.37803
0.92222	0.39049
0.91406	0.39028
0.92247	0.39756
0.89331	0.37661
0.93507	0.46814
0.90518	0.38880
0.87793	0.27813
0.92897	0.41090
0.92889	0.41705
0.92048	0.39991
0.89909	0.38977
0.91215	0.39414
0.94192	0.48120
0.90228	0.40765
0.90388	0.41221
0.91867	0.41965
0.90087	0.39346
0.85019	0.30668
0.84294	0.34648
0.91335	0.41203
0.84547	0.34419
0.91025	0.44818
0.88632	0.35808
0.89223	0.41823
0.91174	0.43432
0.92700	0.46167
0.92344	0.43861
0.88867	0.36625
0.88120	0.34592
0.92018	0.44304
0.90221	0.41406
0.92672	0.44753
0.92451	0.43734
0.92588	0.48078
0.92489	0.42387
0.93090	0.47608
0.92332	0.46416
0.90901	0.44780
0.92169	0.43062
0.95041	0.39656
0.91224	0.37606
0.92092	0.46111
0.92351	0.40751
0.88534	0.42266
0.88782	0.37951
0.91878	0.47368
0.87634	0.39088
0.91558	0.44161
0.87727	0.43510
0.90371	0.49512
0.89983	0.46623
0.90267	0.42285
0.89950	0.40928
0.87536	0.40567
0.88723	0.41217
0.91168	0.45276
0.85905	0.33553
0.89256	0.28871
0.90730	0.39377
0.91585	0.42078
0.90640	0.46953
0.92235	0.47013
0.91918	0.46767
0.91289	0.46873
0.86150	0.29073
0.92311	0.50114
0.92225	0.48225
0.92625	0.47768
0.92822	0.50077
0.92611	0.46552
0.91509	0.48127
0.92221	0.47669
0.93493	0.55004
0.91040	0.46876
0.92239	0.49290
0.92407	0.42225
0.92067	0.49621
0.90078	0.39325
0.93304	0.51243
0.92367	0.41883
0.93038	0.47708
0.92178	0.47350
0.91753	0.42121
0.92681	0.46484
0.92496	0.44690
0.92700	0.48427
0.91542	0.44047
0.92581	0.51589
0.92162	0.40853
0.92967	0.51392
0.92306	0.44384
0.92747	0.46625
0.91368	0.46199
0.91833	0.47691
0.90749	0.41040
0.90471	0.43761
0.90512	0.40149
0.90693	0.42616
0.93097	0.43842
0.92640	0.44302
0.92592	0.47400
0.92491	0.48933
0.92116	0.44500
0.92813	0.49771
0.92107	0.47515
0.90427	0.40439
0.93176	0.48516
0.90288	0.41828
0.93566	0.54327
0.92172	0.47672
0.87651	0.35637
0.93340	0.36858
0.89542	0.30563
0.88094	0.38549
0.90642	0.43097
0.92347	0.45035
0.97029	0.66904
0.94157	0.03929
0.97052	0.65013
0.91695	0.03924
0.94692	0.16506
0.96610	0.59980
0.98213	0.42865
0.98212	0.21413
0.96471	0.39636
0.95301	0.64061
0.79816	0.01485
0.88624	0.09564
0.97623	0.65489
0.95137	0.05843
0.97696	0.64855
0.95792	0.18537
0.96405	0.60576
0.96483	0.08190
0.96123	0.61789
0.98461	0.16608
0.97581	0.64826
0.98528	0.37079
0.91375	0.15773
0.95618	0.21714
0.96152	0.61382
0.89019	0.00737
0.96575	0.32366
0.94986	0.08777
0.96587	0.01577
0.88158	0.14570
0.98294	0.69220
0.96578	0.45938
0.94401	0.29384
0.95955	0.44664
0.98347	0.36631
0.97247	0.63690
0.98680	0.36830
0.96439	0.59893
0.98564	0.31509
0.96332	0.61956
0.97835	0.29999
0.85206	0.08133
0.97278	0.59205
0.97484	0.25546
0.95212	0.64709
0.91386	0.11870
0.86989	0.09996
0.96524	0.43176
0.98147	0.55572
0.98258	0.59009
0.93627	0.29397
0.94843	0.29570
0.93169	0.32564
0.88095	0.04657
0.93741	0.36673
0.92531	0.03023
0.84683	0.12612
0.88440	0.09807
0.87742	0.13424
0.89261	0.25965
0.88306	0.17704
0.95840	0.61474
0.96002	0.63223
0.88868	0.10577
0.94269	0.28668
0.93264	0.37019
0.88244	0.20205
0.94295	0.25133
0.96450	0.33848
0.93278	0.26146
0.93994	0.31332
0.91838	0.15831
0.99344	0.73464
0.83831	0.01741
0.81007	0.05284
0.82863	0.05002
0.90548	0.04787
0.86558	0.05333
0.96948	0.59918
0.89627	0.21065
0.97476	0.26859
0.92421	0.22927
0.92817	0.16162
0.88308	0.14481
0.95016	0.13818
0.90475	0.09721
0.87430	0.13501
0.96644	0.24805
0.97067	0.47858
0.97853	0.25295
0.89712	0.19680
0.98731	0.55008
0.93058	0.17683
0.91238	0.13347
0.91008	0.07699
0.88742	0.13937
0.88490	0.14840
0.88336	0.22627
0.93665	0.42143
