pyDanQ AU ROC	pyDanQ AU PR
0.90524	0.38583
0.92098	0.42475
0.88971	0.30771
0.92364	0.33379
0.83393	0.33435
0.88201	0.40997
0.90818	0.42501
0.92728	0.40684
0.92130	0.38067
0.92385	0.40452
0.91573	0.39967
0.92265	0.39307
0.89545	0.37186
0.93646	0.47864
0.90509	0.38430
0.87771	0.27867
0.92700	0.41816
0.92948	0.42805
0.92000	0.40272
0.89946	0.39030
0.91279	0.40750
0.94127	0.49069
0.90171	0.40311
0.90315	0.40667
0.91612	0.41580
0.89778	0.38291
0.85348	0.30218
0.84222	0.34324
0.91405	0.41167
0.84592	0.34290
0.91030	0.44681
0.88762	0.35817
0.89117	0.41652
0.91220	0.43394
0.92633	0.46444
0.92374	0.43860
0.88471	0.35713
0.88106	0.35443
0.91999	0.43641
0.90301	0.41205
0.92835	0.45065
0.92685	0.43967
0.92759	0.48514
0.92534	0.42414
0.93249	0.47698
0.92494	0.46776
0.91069	0.44448
0.92340	0.43288
0.95240	0.41971
0.91222	0.36932
0.92078	0.46795
0.92317	0.40649
0.88610	0.43005
0.89036	0.38961
0.91977	0.48082
0.87856	0.40170
0.91774	0.45420
0.87625	0.43866
0.90683	0.49898
0.90349	0.47918
0.90434	0.43363
0.89774	0.41708
0.87232	0.41003
0.88069	0.39868
0.91176	0.45792
0.85988	0.34332
0.89714	0.30881
0.91065	0.39755
0.92025	0.43800
0.90853	0.47148
0.92537	0.47218
0.92234	0.47605
0.91454	0.46335
0.86148	0.28959
0.92563	0.50632
0.92377	0.48326
0.92896	0.48112
0.93042	0.50598
0.92724	0.47279
0.91757	0.48372
0.92110	0.46683
0.93300	0.54655
0.91098	0.46804
0.92323	0.49170
0.92601	0.42997
0.92214	0.50054
0.90430	0.40049
0.93459	0.51927
0.92697	0.43296
0.93290	0.48188
0.92460	0.47583
0.92119	0.42509
0.92978	0.47112
0.92788	0.46225
0.93020	0.48833
0.91904	0.44060
0.92786	0.52028
0.92428	0.42213
0.93224	0.51685
0.92427	0.44746
0.92935	0.46987
0.91577	0.46287
0.91936	0.47717
0.91020	0.41026
0.90543	0.43884
0.90723	0.40406
0.91255	0.43107
0.93191	0.44336
0.92920	0.45136
0.92757	0.48089
0.92730	0.49611
0.92161	0.44598
0.92943	0.49960
0.92358	0.48333
0.90272	0.39458
0.92957	0.48356
0.90601	0.42042
0.93402	0.53704
0.92426	0.48465
0.88117	0.35956
0.93429	0.38662
0.89604	0.30409
0.89063	0.38386
0.90890	0.43458
0.92447	0.45070
0.96829	0.63599
0.94354	0.04091
0.96548	0.61252
0.91810	0.03727
0.94641	0.17369
0.96210	0.58402
0.98055	0.40473
0.98319	0.21530
0.96573	0.40613
0.94785	0.60054
0.79317	0.01736
0.88575	0.09793
0.97332	0.62212
0.95318	0.05233
0.97223	0.61069
0.95955	0.17674
0.96179	0.56948
0.97039	0.08655
0.95861	0.58835
0.98559	0.16795
0.97226	0.61822
0.98534	0.36045
0.91963	0.15968
0.95419	0.20514
0.95656	0.57924
0.86057	0.00885
0.96240	0.31775
0.94809	0.10243
0.95181	0.01653
0.87798	0.13933
0.98314	0.69041
0.96499	0.45036
0.93536	0.28694
0.96002	0.43245
0.98371	0.36755
0.96886	0.60354
0.98650	0.36760
0.96142	0.56769
0.98549	0.30144
0.95618	0.57975
0.97856	0.28662
0.85678	0.08016
0.96942	0.59137
0.97430	0.24743
0.94853	0.61823
0.90695	0.11792
0.86587	0.09772
0.96494	0.43229
0.98075	0.52451
0.98159	0.56351
0.93642	0.29643
0.94564	0.29079
0.92892	0.33962
0.88870	0.05032
0.93918	0.38435
0.91650	0.03128
0.84653	0.13200
0.88160	0.11870
0.87994	0.14794
0.91350	0.29975
0.87885	0.18106
0.95777	0.60452
0.95948	0.62333
0.88796	0.10854
0.94193	0.28686
0.93172	0.36253
0.88188	0.20923
0.94218	0.25485
0.96814	0.34303
0.93697	0.25762
0.94259	0.32261
0.91569	0.16907
0.99186	0.70079
0.86389	0.02408
0.82903	0.06462
0.84604	0.06691
0.91417	0.06187
0.86922	0.05615
0.96896	0.58381
0.90495	0.22763
0.98072	0.26507
0.92583	0.23298
0.93642	0.18225
0.89376	0.15994
0.95083	0.15079
0.91271	0.11839
0.91596	0.21209
0.96678	0.26124
0.97187	0.48830
0.97995	0.27886
0.90335	0.20877
0.98870	0.56557
0.93087	0.18041
0.92653	0.16406
0.93178	0.11208
0.89487	0.15779
0.89342	0.15551
0.89537	0.24802
0.97431	0.50550
0.95160	0.11752
0.89426	0.17041
0.90885	0.17351
0.91760	0.10691
0.92435	0.32730
0.89007	0.35059
0.95552	0.57342
0.91870	0.20485
0.95952	0.45704
0.97067	0.52779
0.91305	0.37026
0.96111	0.03654
0.98828	0.55057
0.94928	0.33114
0.91795	0.16130
0.89682	0.10823
0.96061	0.36616
0.94217	0.18914
0.94250	0.17728
0.98289	0.37603
0.94820	0.40157
0.97002	0.12427
0.96267	0.14360
0.89059	0.02550
0.89782	0.28774
0.91020	0.31775
0.92123	0.16864
0.95883	0.46219
0.95988	0.35932
0.96487	0.37255
0.94419	0.27169
0.89332	0.29620
0.92795	0.44389
0.96979	0.38321
0.95331	0.34558
0.92291	0.12627
0.98032	0.31542
0.93684	0.07652
0.97442	0.54328
0.95377	0.15884
0.88750	0.01934
0.98007	0.33746
0.94894	0.07175
0.95776	0.17936
0.92321	0.09010
0.94775	0.47594
0.94148	0.15748
0.90495	0.29400
0.93673	0.48312
0.93581	0.16592
0.95981	0.60413
0.93773	0.01865
0.95976	0.20433
0.95856	0.43108
0.93738	0.25626
0.97165	0.24008
0.97336	0.28499
0.85267	0.07959
0.97611	0.52430
0.95813	0.30982
0.94224	0.11605
0.94408	0.23685
0.97391	0.44870
0.95725	0.33069
0.90520	0.41378
0.96298	0.32149
0.95926	0.18574
0.98124	0.43403
0.94352	0.40804
0.91074	0.46597
0.95348	0.35431
0.98406	0.24474
0.96829	0.10464
0.97791	0.30626
0.97052	0.21726
0.97841	0.58314
0.96443	0.36282
0.95247	0.30252
0.94129	0.34698
0.94021	0.38446
0.94107	0.33607
0.98806	0.59226
0.93689	0.18944
0.96048	0.29640
0.95409	0.29020
0.95233	0.26090
0.91347	0.08573
0.91169	0.21946
0.91108	0.18769
0.98477	0.51324
0.95471	0.38704
0.92801	0.23725
0.90971	0.39755
0.94841	0.50668
0.96768	0.55626
0.94017	0.19094
0.95172	0.31479
0.93990	0.29304
0.99112	0.30212
0.85532	0.04100
0.98636	0.56460
0.97067	0.06867
0.90851	0.14548
0.97990	0.40146
0.97007	0.45766
0.95986	0.11657
0.96408	0.12888
0.92011	0.37499
0.92546	0.40571
0.96672	0.25203
0.91673	0.03464
0.94291	0.13745
0.86592	0.14571
0.94468	0.25560
0.97489	0.54854
0.98824	0.29829
0.96298	0.36857
0.92938	0.25960
0.96114	0.41027
0.97603	0.37160
0.97513	0.28522
0.96839	0.44768
0.94388	0.22478
0.93943	0.09088
0.94791	0.44893
0.90296	0.03949
0.90496	0.14276
0.95070	0.32844
0.93065	0.30552
0.92271	0.32841
0.94759	0.55692
0.96873	0.30475
0.98037	0.51553
0.97257	0.28921
0.98896	0.47029
0.96703	0.29045
0.98532	0.33172
0.89990	0.09718
0.93614	0.14994
0.97231	0.44254
0.87415	0.08317
0.91107	0.23677
0.98287	0.19306
0.90537	0.13058
0.97292	0.38302
0.98229	0.44682
